Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,59,6,Some Random Commen with Id 0
1,0,3,141,5,Some Random Commen with Id 1
2,0,3,97,2,Some Random Commen with Id 2
3,1,1,21,9,Some Random Commen with Id 3
4,1,1,79,7,Some Random Commen with Id 4
5,2,5,191,4,Some Random Commen with Id 5
6,3,4,139,0,Some Random Commen with Id 6
7,3,4,104,8,Some Random Commen with Id 7
8,3,4,192,2,Some Random Commen with Id 8
9,3,4,112,6,Some Random Commen with Id 9
10,3,4,11,8,Some Random Commen with Id 10
11,3,4,57,9,Some Random Commen with Id 11
12,3,4,33,5,Some Random Commen with Id 12
13,4,6,135,6,Some Random Commen with Id 13
14,4,6,65,5,Some Random Commen with Id 14
15,4,6,0,6,Some Random Commen with Id 15
16,5,2,197,2,Some Random Commen with Id 16
17,5,2,80,1,Some Random Commen with Id 17
18,5,2,62,5,Some Random Commen with Id 18
19,5,2,7,6,Some Random Commen with Id 19
20,5,2,183,8,Some Random Commen with Id 20
21,5,2,115,6,Some Random Commen with Id 21
22,6,0,74,1,Some Random Commen with Id 22
23,6,0,104,1,Some Random Commen with Id 23
24,7,3,3,8,Some Random Commen with Id 24
25,7,3,125,4,Some Random Commen with Id 25
26,7,3,30,3,Some Random Commen with Id 26
27,7,3,72,5,Some Random Commen with Id 27
28,8,1,177,8,Some Random Commen with Id 28
29,8,1,25,9,Some Random Commen with Id 29
30,9,6,28,2,Some Random Commen with Id 30
31,9,6,1,2,Some Random Commen with Id 31
32,9,6,170,0,Some Random Commen with Id 32
33,9,6,105,9,Some Random Commen with Id 33
34,9,6,67,0,Some Random Commen with Id 34
35,9,6,194,5,Some Random Commen with Id 35
36,9,6,53,8,Some Random Commen with Id 36
37,10,5,62,1,Some Random Commen with Id 37
38,10,5,163,1,Some Random Commen with Id 38
39,10,5,38,6,Some Random Commen with Id 39
40,11,4,187,4,Some Random Commen with Id 40
41,11,4,189,5,Some Random Commen with Id 41
42,11,4,191,9,Some Random Commen with Id 42
43,11,4,198,8,Some Random Commen with Id 43
44,11,4,100,3,Some Random Commen with Id 44
45,11,4,84,1,Some Random Commen with Id 45
46,11,4,24,8,Some Random Commen with Id 46
47,11,4,188,8,Some Random Commen with Id 47
48,12,5,116,2,Some Random Commen with Id 48
49,12,5,85,6,Some Random Commen with Id 49
